"CY01_EA_Le"	"CY01_EA_Rh"	"CY01_EA_Ro"	"CY01_EA_So"	"CY02_EA_Le"	"CY02_EA_Rh"	"CY02_EA_Ro"	"CY02_EA_So"	"CY03_EA_Le"	"CY03_EA_Rh"	"CY03_EA_Ro"	"CY03_EA_So"	"CY04_EA_Le"	"CY04_EA_Rh"	"CY04_EA_Ro"	"CY04_EA_So"	"CY05_EA_Le"	"CY05_EA_Rh"	"CY05_EA_Ro"	"CY05_EA_So"	"CY06_EA_Le"	"CY06_EA_Rh"	"CY06_EA_Ro"	"CY06_EA_So"	"CY07_EA_Rh"	"CY07_EA_Ro"	"CY07_EA_So"	"CY08_EA_Le"	"CY08_EA_Rh"	"CY08_EA_Ro"	"CY08_EA_So"	"CY09_EA_Le"	"CY09_EA_Rh"	"CY09_EA_Ro"	"CY09_EA_So"	"CY10_EA_Le"	"CY10_EA_Rh"	"CY10_EA_Ro"	"CY10_EA_So"	"MShoal_EA_Le_01"	"MShoal_EA_Le_02"	"MShoal_EA_Le_03"	"MShoal_EA_Le_04"	"MShoal_EA_Le_05"	"MShoal_EA_Le_06"	"MShoal_EA_Le_07"	"MShoal_EA_Le_08"	"MShoal_EA_Le_09"	"MShoal_EA_Le_10"	"MShoal_EA_Rh_01"	"MShoal_EA_Rh_02"	"MShoal_EA_Rh_03"	"MShoal_EA_Rh_04"	"MShoal_EA_Rh_05"	"MShoal_EA_Rh_06"	"MShoal_EA_Rh_07"	"MShoal_EA_Rh_08"	"MShoal_EA_Rh_09"	"MShoal_EA_Rh_10"	"Mshoal_EA_Ro_01"	"Mshoal_EA_Ro_02"	"Mshoal_EA_Ro_03"	"Mshoal_EA_Ro_04"	"Mshoal_EA_Ro_05"	"Mshoal_EA_Ro_06"	"Mshoal_EA_Ro_07"	"Mshoal_EA_Ro_08"	"Mshoal_EA_Ro_09"	"Mshoal_EA_Ro_10"	"Mshoal_EA_So_01"	"Mshoal_EA_So_02"	"Mshoal_EA_So_03"	"Mshoal_EA_So_04"	"Mshoal_EA_So_05"	"Mshoal_EA_So_06"	"Mshoal_EA_So_07"	"Mshoal_EA_So_08"	"Mshoal_EA_So_09"	"Mshoal_EA_So_10"	"PD_EA_Le_01"	"PD_EA_Le_02"	"PD_EA_Le_03"	"PD_EA_Le_04"	"PD_EA_Le_05"	"PD_EA_Le_06"	"PD_EA_Le_07"	"PD_EA_Le_08"	"PD_EA_Le_09"	"PD_EA_Le_10"	"PD_EA_Rh_01"	"PD_EA_Rh_02"	"PD_EA_Rh_03"	"PD_EA_Rh_04"	"PD_EA_Rh_05"	"PD_EA_Rh_06"	"PD_EA_Rh_07"	"PD_EA_Rh_08"	"PD_EA_Rh_09"	"PD_EA_Rh_10"	"PD_EA_Ro_01"	"PD_EA_Ro_02"	"PD_EA_Ro_03"	"PD_EA_Ro_04"	"PD_EA_Ro_05"	"PD_EA_Ro_06"	"PD_EA_Ro_07"	"PD_EA_Ro_08"	"PD_EA_Ro_09"	"PD_EA_Ro_10"	"PD_EA01_So"	"PD_EA02_So"	"PD_EA03_So"	"PD_EA04_So"	"PD_EA05_So"	"PD_EA06_So"	"PD_EA07_So"	"PD_EA08_So"	"PD_EA09_So"	"PD_EA10_So"	"Sem_EA_Le_01"	"Sem_EA_Le_02"	"Sem_EA_Le_03"	"Sem_EA_Le_04"	"Sem_EA_Le_05"	"Sem_EA_Le_06"	"Sem_EA_Le_07"	"Sem_EA_Le_08"	"Sem_EA_Le_09"	"Sem_EA_Le_10"	"Sem_EA_Rh_01"	"Sem_EA_Rh_02"	"Sem_EA_Rh_03"	"Sem_EA_Rh_04"	"Sem_EA_Rh_05"	"Sem_EA_Rh_06"	"Sem_EA_Rh_07"	"Sem_EA_Rh_08"	"Sem_EA_Rh_09"	"Sem_EA_Rh_10"	"Sem_EA_Ro_01"	"Sem_EA_Ro_02"	"Sem_EA_Ro_03"	"Sem_EA_Ro_04"	"Sem_EA_Ro_05"	"Sem_EA_Ro_06"	"Sent_EA_Le_01"	"Sent_EA_Le_02"	"Sent_EA_Le_03"	"Sent_EA_Le_04"	"Sent_EA_Le_05"	"Sent_EA_Le_06"	"Sent_EA_Le_07"	"Sent_EA_Le_09"	"Sent_EA_Le_10"	"Sent_EA_Rh_01"	"Sent_EA_Rh_02"	"Sent_EA_Rh_03"	"Sent_EA_Rh_04"	"Sent_EA_Rh_05"	"Sent_EA_Rh_06"	"Sent_EA_Rh_07"	"Sent_EA_Rh_08"	"Sent_EA_Rh_10"	"Sent_EA_Ro_01"	"Sent_EA_Ro_02"	"Sent_EA_Ro_03"	"Sent_EA_Ro_04"	"Sent_EA_Ro_05"	"Sent_EA_Ro_06"	"Sent_EA_Ro_07"	"Sent_EA_Ro_08"	"Sent_EA_Ro_09"	"Sent_EA_Ro_10"	"Sent_EA_So_01"	"Sent_EA_So_02"	"Sent_EA_So_03"	"Sent_EA_So_04"	"Sent_EA_So_05"	"Sent_EA_So_06"	"Sent_EA_So_07"	"Sent_EA_So_08"	"Sent_EA_So_09"	"Sent_EA_So_10"	"Per_EA_Le_01"	"Per_EA_Le_02"	"Per_EA_Le_03"	"Per_EA_Le_04"	"Per_EA_Le_05"	"Per_EA_Le_06"	"Per_EA_Le_07"	"Per_EA_Le_08"	"Per_EA_Le_09"	"Per_EA_Le_10"	"Per_EA_Rh_01"	"Per_EA_Rh_02"	"Per_EA_Rh_03"	"Per_EA_Rh_04"	"Per_EA_Rh_05"	"Per_EA_Rh_06"	"Per_EA_Rh_07"	"Per_EA_Rh_08"	"Per_EA_Rh_09"	"Per_EA_Rh_10"	"Per_EA_Ro_01"	"Per_EA_Ro_02"	"Per_EA_Ro_03"	"Per_EA_Ro_04"	"Per_EA_Ro_05"	"Per_EA_Ro_06"	"Per_EA_Ro_07"	"Per_EA_Ro_08"	"Per_EA_Ro_09"	"Per_EA_Ro_10"	"Per_EA_So_01"	"Per_EA_So_02"	"Per_EA_So_03"	"Per_EA_So_04"	"Per_EA_So_05"	"Per_EA_So_06"	"Per_EA_So_07"	"Per_EA_So_08"	"Per_EA_So_09"	"Per_EA_So_10"	"Sem_EA_Ro_07"	"Sem_EA_Ro_08"	"Sem_EA_Ro_09"	"Sem_EA_Ro_10"	"Sem_EA_So_01"	"Sem_EA_So_02"	"Sem_EA_So_03"	"Sem_EA_So_04"	"Sem_EA_So_05"	"Sem_EA_So_06"	"Sem_EA_So_07"	"Sem_EA_So_08"	"Sem_EA_So_09"	"Sem_EA_So_10"
"1"	0	0	0	0	0	0	47	0	0	0	0	0	0	0	426	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	3	0	0	0	0	21	0	0	0	0	0	76	107	0	71	48	0	80	0	0	752	152	426	3677	2713	795	7697	716	3184	247	0	48	0	0	0	0	0	0	0	0	0	0	0	16	0	0	3	11	18	0	24	0	131	91	0	0	69	112	177	99	15043	1433	8817	8088	1930	7274	11971	9950	9426	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1968	0	0	0	0	0	0	0	0	147	0	2458	0	3196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	5066	284	310	4006	0	1375	0	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	40	0	0	590	2863	0	93	2491	496	142	944	370	205	0	0	0	0	0	0	0	0	0	0	0	0	429	367	0	0	0	0	0	0	0	0	0	0
"2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	46	0	0	0	93	254	12665	7895	11295	0	10796	4669	13197	16722	14976	0	0	0	372	0	0	89	557	0	0	0	0	0	0	0	0	0	1560	134	15	44	200	54	0	0	116	17	241	938	45	45	0	24	114	0	168	12	16	46	132	0	0	0	0	0	138	0	0	0	81	0	0	181	0	0	0	3	0	0	0	0	58	37	26	226	128	0	0	0	0	17	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	1111	500	804	110	0	43	0	0	0	0	0	25	0	0	8	0	0	10	0	25	0	10	0	0	6	4	32	77	54	11	17	18	26	101	71	0	7	0	0	9	44	9	0	56	31	105	0	0	0	0	0	0	0	0	0	0	332	289	1692	24305	0	0	0	0	0	0	0	16	0	165
"3"	0	0	0	0	0	0	0	0	0	0	166	0	0	66	284	0	0	72	170	0	0	0	0	0	0	72	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	7587	1941	0	0	2001	202	3441	122	5781	7313	829	1183	526	533	613	5203	840	3187	301	876	0	97	50	0	0	0	0	0	0	0	0	0	0	72	0	0	0	395	120	0	0	26	36	0	39	22	49	1212	474	171	110	169	108	229	0	505	0	240	5467	2352	1291	0	48	2394	46	107	622	0	123	901	0	514	207	0	0	159	192	8	0	0	22	0	0	0	909	0	99	159	0	171	117	829	383	196	1590	489	0	0	0	407	0	0	0	0	0	0	55	0	39	34	91	0	0	9	472	45	2673	854	5806	1635	5434	1441	988	667	70	0	60	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16300	0	0	0	0	0	0	0	375	990	1301	260	423	560	269	131	281	575	4387	3418	6036	621	160	224	248	180	224	1377	7216	100	1009	1241
"4"	0	0	337	0	0	0	387	0	0	0	494	0	0	0	1326	0	0	0	194	0	0	0	668	0	0	83	0	0	0	520	0	0	0	44	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	40	45	0	0	0	18	1536	770	0	634	2041	661	2686	1128	1989	516	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2320	6822	1571	7055	2521	1877	4300	14433	3811	1813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	1352	212	1253	40	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	227	173	521	703	173	625	182	126	0	126	0	0	0	21	0	0	45	37	34	47	0	0	0	0	10	0	0	0	0	0	0	599	36	0	0	0	0	0	0	0	136	264	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1291	4159	143	12	0	110	0	0	0	0	0	0	0
"5"	0	0	0	0	0	0	62	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	46	0	0	0	0	0	0	47	0	123	0	45	139	75	115	31	157	4624	2535	300	0	293	132	372	231	675	4535	1788	2428	1911	754	1573	11326	913	593	1373	2203	0	0	0	0	0	0	124	240	100	241	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	241	89	0	632	0	0	0	0	101	0	0	529	482	148	0	0	341	0	0	0	0	0	209	0	154	126	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	220	254	0	708	263	0	375	0	191	0	0	0	0	0	0	0	123	0	0	0	24	0	0	121	0	452	225	2476	454	417	493	223	104	0	0	0	0	0	0	0	137	0	0	40	0	114	24	23	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	27	0	739	0	51	0	0	0	0	0	117	0	0	0	0	2363	1535	3827	9681	0	154	733	0	94	310	4101	65	1080	697
"6"	0	5	0	146	0	0	0	452	0	3	0	308	0	0	0	608	0	0	0	0	0	0	0	111	0	0	134	0	0	0	0	0	0	0	293	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	390	295	563	957	367	317	244	133	141	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	5	0	0	0	52	0	0	0	543	43	1793	1406	1830	1363	1336	2491	2538	2026	962	2424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	601	1268	1134	930	1007	1314	779	1024	994	487	0	0	0	0	0	0	0	0	0	0	0	0	0	8	59	13	0	19	0	0	0	0	0	0	0	0	0	0	0	0	216	860	696	109	627	546	1270	485	736	268	0	0	17	0	2555	1476	3476	4747	1890	2671	1383	1867	2198	1054
"7"	0	0	0	7	0	0	0	0	0	0	96	0	0	44	45	0	0	0	45	0	0	0	0	0	0	51	0	0	0	0	0	0	0	35	0	0	0	18	0	22	0	179	25	45	94	83	126	91	170	0	306	1068	80	702	186	177	695	0	630	4442	2751	3787	1016	2365	0	1462	1269	2207	3460	117	54	45	35	1610	38	250	525	90	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	14	28	0	0	0	282	58	29	0	50	45	0	0	13	53	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	127	35	303	57	0	0	0	0	0	0	0	0	0	0	11	67	12	0	0	0	0	0	0	0	90	0	86	102	0	185	44	105	33	0	68	48	48	118	28	538	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	278	291	125	0	0	111	0	0	0	4935	0	414	317
"8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	22	0	0	25	0	0	1548	158	1624	262	5035	2077	1955	1659	2482	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	18	27	0	482	584	2296	607	135	1198	2702	1438	252	260	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	19	0	0	0	896	746	0	358	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	172	282	0	0	0	36	0	0	0	0	162	0	0
"9"	0	0	0	0	0	0	407	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2569	4935	876	4558	817	410	4091	1759	1164	2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	65	0	0	153	95	67	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	197	0	74	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	61	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	1069	199	0	206	1406	1824	73	0	166	14	0	0	0	0	0	0	0	0	0	0	261	0	515	456	0	0	0	0	0	0	0	0	0	0
"10"	0	0	514	0	0	0	33	0	0	0	77	0	0	0	24	0	0	0	28	0	0	0	260	0	0	0	0	0	0	35	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	307	80	0	164	0	40	0	0	0	0	63	1381	0	259	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	1115	1405	133	3791	3215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	68	0	0	0	0	0	183	2750	54	226	0	0	0	84	0	0	0	0	0	0	0	0	0	441	0	4	47	0	0	0	0	0	894	556	135	1092	0	556	0	559	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	409	19	0	0	0	0	0	0	0	0	0	0
