[1] "Output of IndicSpecies grouped according to Structure where Leaf = 1, Rhizome = 2, Root = 3, and Sediment = 4"
[1] Output of IndicSpecies grouped according to Structure where Leaf = 1, Rhizome = 2, Root = 3, and Sediment = 4

 Multilevel pattern analysis
 ---------------------------

 Association function: IndVal.g
 Significance level (alpha): 0.05

 Total number of species: 611
 Selected number of species: 588 
 Number of species associated to 1 group: 508 
 Number of species associated to 2 groups: 69 
 Number of species associated to 3 groups: 11 

 List of species associated to each combination: 

 Group 1  #sps.  19 
                             stat p.value    
Marinomonas__13             0.792   0.001 ***
Labrenzia__102              0.765   0.001 ***
Vibrio__49                  0.696   0.001 ***
Perspicuibacter__206        0.656   0.001 ***
Aestuariibacter__308        0.623   0.001 ***
Candidatus_Endobugula__402  0.613   0.001 ***
Tenacibaculum__377          0.513   0.001 ***
Aliikangiella__1602         0.506   0.001 ***
Shimia__274                 0.473   0.001 ***
Muricauda__682              0.473   0.001 ***
Candidatus_Endobugula__1427 0.455   0.001 ***
Labrenzia__643              0.455   0.001 ***
Teredinibacter__313         0.448   0.001 ***
Candidatus_Endobugula__1249 0.429   0.001 ***
Sva0996_marine_group__373   0.415   0.001 ***
Lentilitoribacter__1493     0.415   0.001 ***
Vibrio__22                  0.410   0.001 ***
Ruegeria__441               0.410   0.001 ***
Aquimarina__1419            0.369   0.002 ** 

 Group 2  #sps.  16 
                           stat p.value    
RBG-16-49-21__585         0.674   0.001 ***
Dasania__24               0.581   0.001 ***
Desulfofustis__469        0.562   0.001 ***
Desulfobulbus__153        0.551   0.001 ***
GWE2-31-10__2213          0.485   0.001 ***
Desulfatitalea__1129      0.483   0.001 ***
Caldithrix__1140          0.469   0.001 ***
Pseudobacteriovorax__398  0.455   0.001 ***
Desulfomonile__670        0.451   0.001 ***
Desulfomonile__892        0.451   0.001 ***
Desulfatiglans__3393      0.431   0.001 ***
GWE2-31-10__1191          0.430   0.001 ***
Desulfomonile__1317       0.424   0.001 ***
Subgroup_23__1533         0.398   0.001 ***
Desulfomonile__2139       0.353   0.002 ** 
Acanthopleuribacter__3224 0.306   0.014 *  

 Group 3  #sps.  48 
                                    stat p.value    
BBMC-4__74                         0.937   0.001 ***
Desulfatitalea__17                 0.890   0.001 ***
Candidatus_Thiodiazotropha__4      0.877   0.001 ***
Desulfatitalea__14                 0.839   0.001 ***
Desulfatitalea__9                  0.782   0.001 ***
P3OB-42__56                        0.753   0.001 ***
Candidatus_Thiodiazotropha__1      0.735   0.001 ***
Candidatus_Thiodiazotropha__26     0.687   0.001 ***
Candidatus_Thiodiazotropha__47     0.675   0.001 ***
Thioalkalispira-Sulfurivermis__249 0.673   0.001 ***
Desulfatitalea__64                 0.658   0.001 ***
Desulfatitalea__8                  0.647   0.001 ***
Caldithrix__690                    0.644   0.001 ***
Spirochaeta_2__929                 0.632   0.001 ***
UCG-012__409                       0.605   0.001 ***
Candidatus_Thiodiazotropha__16     0.594   0.001 ***
Caldithrix__601                    0.592   0.001 ***
Candidatus_Thiodiazotropha__20     0.584   0.001 ***
Pir4_lineage__130                  0.574   0.001 ***
Hyphomicrobium__171                0.573   0.001 ***
P3OB-42__266                       0.565   0.001 ***
BBMC-4__173                        0.517   0.001 ***
Magnetovibrio__272                 0.517   0.001 ***
Sedimenticola__207                 0.515   0.001 ***
Caldithrix__1518                   0.502   0.001 ***
IheB3-7__1112                      0.500   0.001 ***
RBG-16-49-21__853                  0.496   0.001 ***
Pir4_lineage__436                  0.492   0.001 ***
Desulfatitalea__28                 0.490   0.001 ***
Salinispira__1024                  0.483   0.001 ***
CI75cm.2.12__279                   0.483   0.001 ***
Rhodomicrobium__457                0.483   0.001 ***
Methylotenera__98                  0.475   0.001 ***
Candidatus_Thiodiazotropha__58     0.472   0.001 ***
RBG-16-49-21__442                  0.447   0.001 ***
Labrenzia__68                      0.445   0.001 ***
Muricauda__460                     0.443   0.001 ***
Pseudoalteromonas__152             0.441   0.004 ** 
Subgroup_23__702                   0.435   0.001 ***
Magnetospira__1791                 0.432   0.001 ***
JdFR-76__1604                      0.418   0.001 ***
Pir4_lineage__1054                 0.411   0.001 ***
Sunxiuqinia__1476                  0.398   0.001 ***
Photobacterium__759                0.396   0.001 ***
Pir4_lineage__1320                 0.384   0.001 ***
Desulfomonile__1927                0.352   0.001 ***
MSBL7__1852                        0.351   0.001 ***
Desulfomonile__891                 0.291   0.021 *  

 Group 4  #sps.  425 
                                          stat p.value    
Blastopirellula__107                     0.935   0.001 ***
Filomicrobium__99                        0.925   0.001 ***
Filomicrobium__284                       0.907   0.001 ***
Thiogranum__51                           0.891   0.001 ***
Rubripirellula__36                       0.887   0.001 ***
Sva0081_sediment_group__31               0.882   0.001 ***
CI75cm.2.12__116                         0.882   0.001 ***
Pirellula__114                           0.857   0.001 ***
Sva0081_sediment_group__91               0.856   0.001 ***
Desulfosarcina__40                       0.851   0.001 ***
LCP-80__97                               0.840   0.001 ***
Cohaesibacter__128                       0.837   0.001 ***
Desulfobulbus__81                        0.835   0.001 ***
Sva0081_sediment_group__120              0.832   0.001 ***
Sva0081_sediment_group__145              0.827   0.001 ***
IMCC26207__484                           0.818   0.001 ***
Ilyobacter__48                           0.818   0.001 ***
Sva0081_sediment_group__111              0.808   0.001 ***
Xenococcus_PCC-7305__218                 0.805   0.001 ***
Blastopirellula__228                     0.800   0.001 ***
Blastopirellula__94                      0.799   0.001 ***
Rhodopirellula__88                       0.799   0.001 ***
Subgroup_23__78                          0.793   0.001 ***
Rhodopirellula__385                      0.792   0.001 ***
Blastopirellula__454                     0.785   0.001 ***
Defluviicoccus__1100                     0.784   0.001 ***
Candidatus_Amoebophilus__408             0.764   0.001 ***
Draconibacterium__221                    0.761   0.001 ***
Sulfurimonas__73                         0.751   0.001 ***
OM60(NOR5)_clade__349                    0.748   0.001 ***
Desulfatiglans__745                      0.745   0.001 ***
Woeseia__129                             0.742   0.001 ***
Calorithrix__182                         0.741   0.001 ***
SEEP-SRB1__444                           0.739   0.001 ***
Subgroup_10__181                         0.737   0.001 ***
Sva0081_sediment_group__246              0.734   0.001 ***
Sva0081_sediment_group__96               0.730   0.001 ***
Woeseia__180                             0.730   0.001 ***
Woeseia__189                             0.730   0.001 ***
Bythopirellula__440                      0.730   0.001 ***
Candidatus_Thiosymbion__466              0.730   0.001 ***
Sulfurimonas__493                        0.730   0.001 ***
Rubripirellula__216                      0.729   0.001 ***
IS-44__192                               0.727   0.001 ***
Subgroup_10__260                         0.725   0.001 ***
Sva0081_sediment_group__439              0.723   0.001 ***
Sva0081_sediment_group__122              0.722   0.001 ***
Thiohalophilus__57                       0.721   0.001 ***
SZB85__167                               0.720   0.001 ***
Subgroup_10__315                         0.719   0.001 ***
Sva0996_marine_group__763                0.718   0.001 ***
Desulfofustis__320                       0.707   0.001 ***
Sva0081_sediment_group__121              0.706   0.001 ***
Sva0081_sediment_group__174              0.697   0.001 ***
Candidatus_Nitrosopumilus__134           0.696   0.001 ***
Parahaliea__557                          0.695   0.001 ***
Endothiovibrio__831                      0.695   0.001 ***
Constrictibacter__1213                   0.695   0.001 ***
Sulfurovum__27                           0.694   0.001 ***
Anderseniella__475                       0.692   0.001 ***
Woeseia__267                             0.683   0.001 ***
Woeseia__275                             0.683   0.001 ***
Urania-1B-19_marine_sediment_group__714  0.683   0.001 ***
Sulfurimonas__766                        0.683   0.001 ***
Endothiovibrio__751                      0.682   0.001 ***
Thiohalophilus__296                      0.677   0.001 ***
Tistlia__779                             0.672   0.001 ***
Pir4_lineage__511                        0.671   0.001 ***
Silicimonas__588                         0.671   0.001 ***
Actibacterium__387                       0.664   0.001 ***
Subgroup_10__459                         0.661   0.001 ***
Sulfurimonas__304                        0.658   0.001 ***
endosymbionts__467                       0.658   0.001 ***
Synechococcus_PCC-7336__1371             0.655   0.001 ***
Sva0081_sediment_group__53               0.652   0.001 ***
LCP-80__172                              0.650   0.001 ***
Desulfatitalea__333                      0.645   0.001 ***
Zeaxanthinibacter__452                   0.645   0.001 ***
Desulfopila__632                         0.645   0.001 ***
Sedimenticola__1033                      0.645   0.001 ***
Pir4_lineage__1481                       0.645   0.001 ***
Nitrospira__706                          0.640   0.001 ***
Thiohalophilus__119                      0.640   0.001 ***
Sva0081_sediment_group__110              0.637   0.001 ***
Zeaxanthinibacter__1041                  0.635   0.001 ***
RBG-16-58-14__448                        0.633   0.001 ***
Spirochaeta_2__630                       0.632   0.001 ***
Sedimenticola__1314                      0.632   0.001 ***
MSBL7__372                               0.631   0.001 ***
Desulfatiglans__124                      0.631   0.001 ***
Pirellula__186                           0.631   0.001 ***
Sulfurovum__156                          0.628   0.001 ***
Woeseia__132                             0.628   0.001 ***
Sva0996_marine_group__645                0.627   0.001 ***
Caldithrix__534                          0.621   0.001 ***
Sva0081_sediment_group__346              0.619   0.001 ***
MSBL7__584                               0.619   0.001 ***
Ilumatobacter__839                       0.619   0.001 ***
Rhodopirellula__1723                     0.619   0.001 ***
Sva0081_sediment_group__5430             0.619   0.001 ***
Microbulbifer__1019                      0.619   0.001 ***
Sedimenticola__4825                      0.614   0.001 ***
Cohaesibacter__497                       0.611   0.001 ***
Blastopirellula__956                     0.610   0.001 ***
Zeaxanthinibacter__2931                  0.610   0.001 ***
Sva0081_sediment_group__158              0.606   0.001 ***
SZB85__239                               0.606   0.001 ***
Desulfosarcina__317                      0.606   0.001 ***
Sva0081_sediment_group__526              0.606   0.001 ***
Sedimenticola__1133                      0.606   0.001 ***
Blastopirellula__1397                    0.606   0.001 ***
Blastopirellula__1089                    0.602   0.001 ***
Candidatus_Nitrosopumilus__187           0.594   0.001 ***
SH-PL14__927                             0.592   0.001 ***
Desulfosarcina__253                      0.592   0.001 ***
Geothermobacter__607                     0.592   0.001 ***
Desulfurivibrio__1893                    0.592   0.001 ***
Xenococcus_PCC-7305__2438                0.592   0.001 ***
Blastocatella__2588                      0.592   0.001 ***
Pelagibius__4983                         0.592   0.001 ***
CI75cm.2.12__1840                        0.590   0.001 ***
Pelolinea__705                           0.590   0.001 ***
Actibacterium__456                       0.590   0.001 ***
Sulfurimonas__229                        0.589   0.001 ***
Sva0996_marine_group__1110               0.587   0.001 ***
Pir4_lineage__1337                       0.587   0.001 ***
Woeseia__65                              0.582   0.001 ***
Subgroup_23__2049                        0.580   0.001 ***
Sulfurovum__151                          0.578   0.001 ***
Endothiovibrio__539                      0.577   0.001 ***
AqS1__743                                0.577   0.001 ***
Halodesulfovibrio__783                   0.577   0.001 ***
Romboutsia__1153                         0.577   0.001 ***
Cyanobacterium_CLg1__1436                0.577   0.001 ***
Chroococcidiopsis_PCC-6712__1471         0.577   0.001 ***
Blastopirellula__1975                    0.577   0.001 ***
CI75cm.2.12__18088                       0.577   0.001 ***
Endothiovibrio__18100                    0.577   0.001 ***
SEEP-SRB1__897                           0.575   0.001 ***
Pir4_lineage__3183                       0.572   0.001 ***
Epulopiscium__5551                       0.571   0.001 ***
Spirochaeta__567                         0.571   0.001 ***
Rhodopirellula__894                      0.570   0.001 ***
Anderseniella__407                       0.568   0.001 ***
