"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","padlinkerremoved_seqs","fractionOfRawDataInFinal_seqs"
"1","BLANK_01_R1.fastq.gz",4521,4415,4415,4414,4414,0.976332669763327
"2","BLANK_01_R2.fastq.gz",4521,4415,4415,4414,4414,0.976332669763327
"3","BLANK_02_R1.fastq.gz",12460,12141,12141,12124,12123,0.972953451043339
"4","BLANK_02_R2.fastq.gz",12460,12141,12141,12124,12123,0.972953451043339
"5","BLANK_03_R1.fastq.gz",15002,14694,14694,14694,14694,0.979469404079456
"6","BLANK_03_R2.fastq.gz",15002,14694,14694,14694,14694,0.979469404079456
"7","BLANK_04_R1.fastq.gz",10344,9855,9855,9803,9803,0.947699149265275
"8","BLANK_04_R2.fastq.gz",10344,9855,9855,9803,9803,0.947699149265275
"9","BLANK_05_R1.fastq.gz",11301,10978,10978,10964,10964,0.970179630121228
"10","BLANK_05_R2.fastq.gz",11301,10978,10978,10964,10964,0.970179630121228
"11","BLANK_06_R1.fastq.gz",17265,16943,16943,16911,16911,0.979496090356212
"12","BLANK_06_R2.fastq.gz",17265,16943,16943,16911,16911,0.979496090356212
"13","CY01_EA_Le_R1.fastq.gz",57439,55566,55566,55566,55566,0.967391493584498
"14","CY01_EA_Le_R2.fastq.gz",57439,55566,55566,55566,55566,0.967391493584498
"15","CY01_EA_Rh_R1.fastq.gz",58189,56954,56954,56954,56954,0.978776057330423
"16","CY01_EA_Rh_R2.fastq.gz",58189,56954,56954,56954,56954,0.978776057330423
"17","CY01_EA_Ro_R1.fastq.gz",69216,66388,66388,66388,66388,0.959142394822006
"18","CY01_EA_Ro_R2.fastq.gz",69216,66388,66388,66388,66388,0.959142394822006
"19","CY01_EA_So_R1.fastq.gz",97035,94591,94591,94591,94591,0.974813211727727
"20","CY01_EA_So_R2.fastq.gz",97035,94591,94591,94591,94591,0.974813211727727
"21","CY02_EA_Le_R1.fastq.gz",57521,55591,55591,55591,55591,0.96644703673441
