"","input","filtered","denoisedF","denoisedR","merged","nonchim","filter.loss"
"BLANK_01",4414,3329,3325,3319,3300,3300,0.245808790212959
"BLANK_02",12123,9103,9095,9099,9019,9019,0.24911325579477
"BLANK_03",14694,10758,10752,10703,10476,10476,0.267864434463046
"BLANK_04",9803,4714,4714,4713,4713,4713,0.519126797919004
"BLANK_05",10964,8137,8133,8136,8132,8132,0.257843852608537
"BLANK_06",16911,9614,9610,9613,9608,9608,0.431494293655017
"CY01_EA_Le",55566,46567,46451,46464,43362,43120,0.161951553108016
"CY01_EA_Rh",56954,47285,46554,46560,42745,42564,0.169768585174
"CY01_EA_Ro",66388,51790,51201,51156,47967,47623,0.21988913659095
"CY01_EA_So",94591,70433,68874,68832,58536,58015,0.255394276411075
"CY02_EA_Le",55591,46235,46031,46056,42827,42519,0.168300624201759
"CY02_EA_Rh",57698,45121,44708,44621,42140,41655,0.217979825990502
"CY02_EA_Ro",78775,60965,60536,60339,56524,56147,0.226086956521739
"CY02_EA_So",74902,56423,53055,53287,40469,40469,0.246709033136632
"CY03_EA_Le",74385,61240,60994,61046,56598,56228,0.176715735699402
"CY03_EA_Rh",63029,52149,51684,51699,48092,47525,0.172618953180282
"CY03_EA_Ro",67360,53932,53561,53325,49117,48692,0.199346793349169
"CY03_EA_So",80618,61204,59784,59873,50152,49846,0.240814706393113
"CY04_EA_Le",36658,30362,30291,30290,28301,27988,0.171749686289487
"CY04_EA_Rh",62048,49810,48861,48756,44856,44578,0.197234399174832
"CY04_EA_Ro",67780,55143,54312,53895,49760,49221,0.186441428149897
"CY04_EA_So",84148,69448,63967,64520,49702,49436,0.174692208965157
"CY05_EA_Le",48566,40474,40221,40251,37341,37062,0.166618622081291
"CY05_EA_Rh",69562,54662,54423,54320,50191,49812,0.214197406630057
"CY05_EA_Ro",60506,48190,47405,47272,44088,43725,0.20355006115096
"CY05_EA_So",67530,52647,52205,52204,48401,48361,0.220390937361173
"CY06_EA_Le",61255,50740,50515,50534,46799,46678,0.171659456370908
"CY06_EA_Rh",69541,54238,54039,53881,50952,50610,0.220057232424038
"CY06_EA_Ro",56851,44460,43964,43610,40907,40537,0.217955708782607
"CY06_EA_So",87391,65733,65324,65246,61365,61080,0.247828723781625
"CY07_EA_Le",47981,39376,39085,39123,36395,36158,0.17934182280486
"CY07_EA_Rh",56039,45649,45310,45199,42287,42020,0.185406591837827
"CY07_EA_Ro",62137,50463,49908,49800,45734,45364,0.187875179039864
"CY07_EA_So",78715,59538,58977,58881,52874,52804,0.243625738423426
"CY08_EA_Le",57235,47129,46840,46849,43945,43577,0.176570280422818
"CY08_EA_Rh",61393,49805,49508,49514,46871,45768,0.188751160555764
"CY08_EA_Ro",57691,48467,47870,47838,44308,43851,0.159886290755924
"CY08_EA_So",33501,21734,21696,21650,21546,21546,0.351243246470255
"CY09_EA_Le",37060,29692,29468,29492,27519,27336,0.198812736103616
"CY09_EA_Rh",53685,45589,45506,45530,43102,43046,0.15080562540747
"CY09_EA_Ro",61204,50396,49983,49857,46198,45875,0.176589765374812
"CY09_EA_So",56827,45064,41714,41413,30440,30412,0.206996674116177
"CY10_EA_Le",46767,39986,39725,39710,36809,36553,0.144995402741249
"CY10_EA_Rh",58128,47632,47410,47406,44314,43750,0.18056702449766
"CY10_EA_Ro",63413,52979,52287,52097,47758,47409,0.164540393925536
"CY10_EA_So",82098,62822,60226,60229,49200,49072,0.234792564983313
"MShoal_EA_Le_01",58415,49236,48810,48810,45418,44971,0.157134297697509
"MShoal_EA_Le_02",69454,57444,57160,57173,53448,53019,0.17292020617963
"MShoal_EA_Le_03",60995,48714,47768,47862,44254,43768,0.201344372489548
"MShoal_EA_Le_04",70976,59490,59227,59229,55013,54614,0.161829350766456
"MShoal_EA_Le_05",52346,42033,41360,41401,38190,37634,0.197016008864097
"MShoal_EA_Le_06",52580,42872,42375,42432,39707,39373,0.184632940281476
"MShoal_EA_Le_07",64076,53119,52696,52688,48823,48444,0.171000062425869
"MShoal_EA_Le_08",55261,45711,45210,45240,41987,41673,0.172816271873473
"MShoal_EA_Le_09",59262,47819,46983,46957,43436,42630,0.193091694509129
"MShoal_EA_Le_10",58355,46272,45624,45665,42279,41823,0.207060234769943
"MShoal_EA_Rh_01",70205,56383,55253,55260,49812,48306,0.196880564062389
"MShoal_EA_Rh_02",89034,72414,70658,70736,66019,64434,0.186670260799245
"MShoal_EA_Rh_03",53054,42204,39921,39676,35941,35784,0.204508613865119
"MShoal_EA_Rh_04",50785,42448,42099,41862,39325,38985,0.164162646450724
"MShoal_EA_Rh_05",68632,55520,52796,52740,47897,47471,0.191047907681548
